Signal Strength (dBm),Data Throughput (Mbps),BB60C Measurement (dBm),Network Type_4G,Network Type_5G,Network Type_LTE
-84.2741131853019,1.8638900372842315,0.0,0,0,0
-97.6531209786312,5.1322963842135945,-95.81079071350962,1,0,0
-87.04613368001836,1.176985004103839,-91.59386079091296,0,0,1
-94.14315859405016,68.59693229517501,-90.64277281615216,0,1,0
-94.56476465880914,38.2920382968694,-90.4890999195482,0,1,0
-91.19602940186348,1.7125956761539498,-93.47470690801713,0,0,1
-85.6530919078429,4.036608509673799,-87.98528176509005,1,0,0
-85.98005247718947,2.670604991178476,-89.11486737319093,0,0,1
-96.84211831410012,2.9925073995158487,-96.25918377802914,0,0,1
-84.64306452431204,1.5678419494749314,0.0,0,0,0
-90.30840683765642,9.244325886239793,-87.36029380223994,1,0,0
-88.63539210073343,1.5888977841391714,-85.12402538556486,0,0,1
-88.78220352051659,9.3926838678953,-88.76704057364459,1,0,0
-88.97117003607957,5.12285860271256,-90.70465761811916,1,0,0
-79.6561267689209,1.1163871910168872,0.0,0,0,0
-98.3870783385738,13.665592208707311,-96.35049974477354,0,1,0
-85.60737257749466,2.1715511625469266,0.0,0,0,0
-94.6955169644142,65.64284959041035,-93.13829061060676,0,1,0
-103.93835805965892,79.87716646677971,-99.63078480362326,0,1,0
-94.88228041712742,2.1468757762465724,-95.39782519734422,0,0,1
-89.02013371556511,3.5093410445493545,-86.95771144400015,1,0,0
-97.53471587685564,49.10066600394442,-98.48269500904146,0,1,0
-89.10363007275834,1.1475931294707975,-84.41060471656735,0,0,1
-89.94963039687282,1.7206901904105365,-90.41722192858452,0,0,1
-83.97815424613492,1.7534779398758815,0.0,0,0,0
-95.06888977633596,32.26132915688779,-98.77729562482102,0,1,0
-100.10191623631076,12.590440868200508,-98.89882072277612,0,1,0
-85.80728331378685,1.9842325861590764,0.0,0,0,0
-91.78673388276266,1.0817372325329575,-94.00083049244309,0,0,1
-86.42701404390581,2.1945561645108613,0.0,0,0,0
-93.53166988195268,26.405549062836226,-90.12457002317336,0,1,0
-91.95507929382212,4.7104720882525815,-93.65159448101298,1,0,0
-82.81934177344415,2.641722946306705,-82.46897445299504,0,0,1
-90.2980305861247,1.4034609246604717,-94.41934947369812,0,0,1
-87.68278625251112,2.501003849530627,-84.43145948558315,0,0,1
-88.0108328886769,1.4580507818495927,-88.69555145731248,0,0,1
-84.73889431555999,1.7576431311138314,0.0,0,0,0
-93.7893655197685,4.5914568812099095,-95.91006935501125,1,0,0
